"pop2024","city","state","usps","densityMi","growth","areaMi"
"147845","Savannah","Georgia","GA","1358","0.00066","108.888"
"147158","Escondido","California","CA","3940","-0.00651","37.348"
"147001","Gainesville","Florida","FL","2297","0.00815","63.986"
"146547","Mesquite","Texas","TX","2985","-0.00523","49.102"
"146241","Waco","Texas","TX","1607","0.00984","91.005"
"146073","Visalia","California","CA","3827","0.00741","38.171"
"145834","Thornton","Colorado","CO","3995","0.00629","36.504"
"145270","Rockford","Illinois","IL","2232","-0.00582","65.084"
"145171","Syracuse","New York","NY","5793","-0.00267","25.059"
"145165","Pasadena","Texas","TX","3323","-0.01057","43.69"
"144489","Columbia","South Carolina","SC","1045","0.01456","138.264"
"143674","Pomona","California","CA","6251","-0.01256","22.984"
"140700","Palm Bay","Florida","FL","1623","0.03787","86.679"
"140613","Jackson","Mississippi","MS","1259","-0.02154","111.685"
"140307","Metairie","Louisiana","LA","6058","0.00093","23.159"
"140279","Victorville","California","CA","1903","0.01015","73.71"
"140232","Midland","Texas","TX","1846","0.01326","75.982"
"139920","Meridian","Idaho","ID","3796","0.03797","36.859"
"139586","Miramar","Florida","FL","4838","0.00916","28.853"
"137965","Orange","California","CA","5375","-0.00269","25.667"
"137911","Fullerton","California","CA","6151","-0.00962","22.42"
"137173","New Haven","Connecticut","CT","7339","0.0137","18.69"
"137037","Hampton","Virginia","VA","2663","-0.00044","51.461"
"136818","Torrance","California","CA","6669","-0.01728","20.516"
"136480","Stamford","Connecticut","CT","3627","0.00186","37.628"
"135930","Lewisville","Texas","TX","3343","0.0178","40.657"
"135832","Warren","Michigan","MI","3951","-0.00602","34.377"
"135588","Fargo","North Dakota","ND","2667","0.01802","50.834"
"135546","Elizabeth","New Jersey","NJ","11003","-0.00208","12.319"
"135358","Cedar Rapids","Iowa","IA","1825","-0.00441","74.162"
"135152","Coral Springs","Florida","FL","5911","0.00182","22.864"
"134850","Dayton","Ohio","OH","2416","-0.00489","55.812"
"133691","Round Rock","Texas","TX","3526","0.02519","37.918"
"133055","Sterling Heights","Michigan","MI","3651","-0.00188","36.447"
"132706","Carrollton","Texas","TX","3621","-0.00159","36.654"
"132635","West Valley City","Utah","UT","3702","-0.01365","35.827"
"132306","Kent","Washington","WA","3911","-0.00804","33.833"
"131926","Pasadena","California","CA","5746","-0.01223","22.96"
"131886","Santa Clara","California","CA","7216","0.00629","18.277"
"130716","Lehigh Acres","Florida","FL","1410","0.0246","92.694"
"130674","Norman","Oklahoma","OK","731","0.00483","178.647"
"130337","Columbia","Missouri","MO","1936","0.00779","67.31"
"130251","Abilene","Texas","TX","1221","0.00936","106.669"
"129089","Athens","Georgia","GA","1109","0.00358","116.437"
"128316","Pearland","Texas","TX","2634","0.00454","48.724"
"127511","Clovis","California","CA","4932","0.01339","25.852"
"126665","College Station","Texas","TX","2476","0.01177","51.16"
"126337","West Palm Beach","Florida","FL","2345","0.01778","53.872"
"125154","Topeka","Kansas","KS","2030","-0.00256","61.661"
"125056","Lakeland","Florida","FL","1879","0.02284","66.561"
"125007","Wilmington","North Carolina","NC","2431","0.01882","51.414"
"124703","Simi Valley","California","CA","3002","-0.00328","41.542"
"124597","Allentown","Pennsylvania","PA","7094","-0.00227","17.564"
"123441","North Charleston","South Carolina","SC","1590","0.01623","77.632"
"122692","Rochester","Minnesota","MN","2172","0.00228","56.486"
"122494","The Woodlands","Texas","TX","2831","0.01699","43.273"
"122342","Thousand Oaks","California","CA","2214","-0.00908","55.257"
"122077","Billings","Montana","MT","2679","0.01004","45.572"
"121778","Vallejo","California","CA","4001","-0.00838","30.435"
"121471","Lafayette","Louisiana","LA","2169","0.00003","56.015"
"121324","Concord","California","CA","3969","-0.0081","30.568"
"121079","Fairfield","California","CA","2912","0.00258","41.586"
"120949","Broken Arrow","Oklahoma","OK","1921","0.01472","62.961"
"120437","Arvada","Colorado","CO","3090","-0.00805","38.974"
"120263","Independence","Missouri","MO","1542","-0.00545","77.989"
"119926","Spring Hill","Florida","FL","2002","0.01285","59.918"
"119626","Hartford","Connecticut","CT","6883","-0.00036","17.379"
"118587","Nampa","Idaho","ID","3410","0.0378","34.773"
"118212","Cambridge","Massachusetts","MA","18479","-0.00002","6.397"
"117971","Ann Arbor","Michigan","MI","4164","-0.01181","28.33"
"117668","Antioch","California","CA","4034","0.00488","29.171"
